time_ms,funding_rate
1683849600048,-0.0006133368
1683878400388,-0.000745027
1683907200253,-0.0008179771
1683936000278,-0.0004403551
1683964800255,-0.0001034319
1683993600054,-0.0001380334
1684022400087,-0.0002227042
1684051200271,-0.0002137192
1684080000380,-0.0001945397
1684108800374,-7.82041e-05
1684137600045,-0.0001276332
1684166400409,-0.0001288077
1684195200447,-2.53654e-05
1684224000126,-0.000129521
1684252800731,-4.62775e-05
1684281600067,-2.61481e-05
1684310400279,0.0001
1684339200024,0.0001
1684368000048,0.0001
1684396800038,-6.4613e-06
1684425600052,-6.7035e-06
1684454400026,8.92339e-05
1684483200158,0.0001
1684512000396,9.1624e-05
1684540800029,3.66019e-05
1684569600111,6.1012e-05
1684598400345,6.5076e-06
1684627200095,-0.0002138913
1684656000013,-0.0001202087
1684684800088,-0.0001198537
1684713600066,-0.0001554343
1684742400290,-0.0002855006
1684771200159,-0.000269228
1684800000022,-0.0001899086
1684830233040,-0.0001754061
1684857600079,-0.0001552822
1684886400035,-0.000110501
1684915200002,-0.000180935
1684944000001,-0.0001998793
1684972800233,-0.0001763761
1685001600374,-7.40973e-05
1685030400209,-9.98004e-05
1685059200136,-8.10263e-05
1685088000044,-0.0001183066
1685116800180,-0.0001308069
1685145600015,-9.70696e-05
1685174400106,-8.23054e-05
1685203200044,-9.7019e-05
1685232000362,-0.000207327
1685260800081,-0.0003484458
1685289600156,-0.0001325304
1685318400082,-5.52924e-05
1685347200068,4.41208e-05
1685376000081,-2.9903e-05
1685404800148,-1.51245e-05
1685433600206,0.0001
1685462400053,0.0001
1685491200047,0.0001
1685520000219,0.0001
1685548800323,0.0001
1685577600139,0.0001
1685606400067,0.0001
1685635200096,3.06061e-05
1685664000428,-3.65626e-05
1685692800113,-9.1338e-06
1685721600038,2.613e-06
1685750400055,-5.30844e-05
1685779200071,-1.51792e-05
1685808000011,-6.86994e-05
1685836800341,-7.33253e-05
1685865600084,-2.06972e-05
1685894400195,-7.1422e-06
1685923200078,2.8243e-05
1685952000375,-1.77927e-05
1685980800060,-3.88377e-05
1686009600279,-0.0001672619
1686038400072,0.0001
1686067200128,0.0001
1686096000420,0.0001
1686124800037,0.0001
1686153600026,0.0001
1686182400254,0.0001
1686186000054,1.25e-05
1686189600123,1.25e-05
1686193200373,1.25e-05
1686196800022,1.25e-05
1686200400074,1.25e-05
1686204000106,1.25e-05
1686207600059,1.25e-05
1686211200002,1.25e-05
1686214800030,1.25e-05
1686218400406,1.25e-05
1686222000055,1.25e-05
1686225600056,1.25e-05
1686229200091,1.25e-05
1686232800160,1.25e-05
1686236400429,1.25e-05
1686240000062,1.25e-05
1686243600054,1.25e-05
1686247200012,1.25e-05
1686250800086,1.25e-05
1686254400353,1.25e-05
1686258000321,1.25e-05
1686261600024,1.25e-05
1686265200342,1.25e-05
1686268800088,1.25e-05
1686272400255,1.25e-05
1686276000108,1.25e-05
1686279600015,1.25e-05
1686283200356,1.25e-05
1686286800040,1.25e-05
1686290400089,1.25e-05
1686294000204,1.25e-05
1686297600150,1.25e-05
1686301200228,1.25e-05
1686304800075,1.25e-05
1686308400086,1.25e-05
1686312000041,1.25e-05
1686315600073,1.25e-05
1686319200034,1.25e-05
1686322800258,1.25e-05
1686326400196,1.25e-05
1686330000108,1.25e-05
1686333600398,1.25e-05
1686337200050,1.25e-05
1686340800107,1.25e-05
1686344400045,1.25e-05
1686348000137,1.25e-05
1686351600007,1.25e-05
1686355200089,1.25e-05
1686358800046,1.25e-05
1686362400029,1.25e-05
1686366000021,1.25e-05
1686369600061,1.25e-05
1686373200110,1.55544e-05
1686376800102,4.33425e-05
1686380400262,4.79961e-05
1686384000047,4.94176e-05
1686387600062,3.73625e-05
1686391200106,2.39268e-05
1686394800009,2.11591e-05
1686398400056,1.91185e-05
1686402000157,3.605e-05
1686405600091,3.31765e-05
1686409200086,3.87226e-05
1686412800155,3.67592e-05
1686416400157,3.31005e-05
1686420000161,9.57744e-05
1686423600337,8.6884e-05
1686427200442,4.71132e-05
1686430800309,4.97588e-05
1686434400292,3.01659e-05
1686438000089,2.80106e-05
1686441600098,2.13738e-05
1686445200065,2.56264e-05
1686448800067,1.25e-05
1686452400083,1.25e-05
1686456000382,1.50071e-05
1686459600342,1.5543e-05
1686463200216,1.5e-05
1686466800178,2.28116e-05
1686470400036,1.25e-05
1686474000438,1.30317e-05
1686477600111,1.25e-05
1686481200054,1.25e-05
1686484800423,1.45404e-05
1686488400320,1.42098e-05
1686492000006,1.70486e-05
1686495600354,1.40736e-05
1686499200003,1.5952e-05
1686502800001,4.3373e-05
1686506400003,6.12039e-05
1686510000059,4.01676e-05
1686513600204,4.31598e-05
1686517200014,3.99832e-05
1686520800072,3.6179e-05
1686524400083,3.74343e-05
1686528000110,3.04198e-05
1686531600059,2.95083e-05
1686535200075,3.7596e-05
1686538800432,5.55929e-05
1686542400031,2.34327e-05
1686546000201,2.15581e-05
1686549600188,1.2771e-05
1686553200016,1.27441e-05
1686556800170,1.25e-05
1686560400004,1.96143e-05
1686564000034,3.52364e-05
1686567600043,3.1628e-05
1686571200074,2.26479e-05
1686574800419,1.92607e-05
1686578400033,4.42954e-05
1686582000276,4.07683e-05
1686585600061,2.75502e-05
1686589200011,1.70983e-05
1686592800257,5.93687e-05
1686596400051,5.31883e-05
1686600000302,3.76172e-05
1686603600061,3.98741e-05
1686607200045,3.19933e-05
1686610800043,3.26848e-05
1686614400002,2.6159e-05
1686618000232,4.82651e-05
1686621600075,4.5417e-05
1686625200235,4.51174e-05
1686628800063,3.06513e-05
1686632400076,2.54875e-05
1686636000327,2.4804e-05
1686639600364,2.15002e-05
1686643200051,1.72283e-05
1686646800206,4.04185e-05
1686650400024,3.70868e-05
1686654000130,2.66713e-05
1686657600055,3.62582e-05
1686661200038,6.31709e-05
1686664800288,6.23099e-05
1686668400345,5.21951e-05
1686672000459,5.85779e-05
1686675600086,3.5946e-05
1686679200427,2.81125e-05
1686682800084,3.85012e-05
1686686400071,1.76186e-05
1686690000155,3.2638e-05
1686693600143,1.77374e-05
1686697200103,1.48808e-05
1686700800130,1.25e-05
1686704400103,2.06488e-05
1686708000172,1.83983e-05
1686711600120,2.06011e-05
1686715200042,1.74623e-05
1686718800158,1.30959e-05
1686722400156,2.15656e-05
1686726000038,1.93682e-05
1686729600419,1.61293e-05
1686733200416,1.37326e-05
1686736800013,1.25e-05
1686740400133,1.60624e-05
1686744000195,1.41347e-05
1686747600070,2.4576e-05
1686751200144,2.21617e-05
1686754800068,1.58195e-05
1686758400298,1.25e-05
1686762000012,1.86854e-05
1686765600338,4.35078e-05
1686769200261,7.79958e-05
1686772800061,4.26409e-05
1686776400121,0.0001230775
1686780000206,5.4366e-05
1686783600104,2.40445e-05
1686787200065,1.8929e-05
1686790800191,2.04005e-05
1686794400166,1.72507e-05
1686798000003,2.79991e-05
1686801600143,2.46234e-05
1686805200129,2.22157e-05
1686808800070,2.45906e-05
1686812400043,4.00759e-05
1686816000059,3.68614e-05
1686819600001,1.25e-05
1686823200114,1.29103e-05
1686826800150,2.51208e-05
1686830400113,3.78277e-05
1686834000060,4.86641e-05
1686837600169,3.63444e-05
1686841200037,3.50384e-05
1686844800082,6.40361e-05
1686848400181,5.64038e-05
1686852000061,1.87067e-05
1686855600138,2.28433e-05
1686859200087,2.24216e-05
1686862800184,1.88969e-05
1686866400161,2.13272e-05
1686870000091,1.25e-05
1686873600016,2.1106e-05
1686877200117,8.91677e-05
1686880800014,8.68533e-05
1686884400154,1.25e-05
1686888000030,1.25e-05
1686891600216,1.25e-05
1686895200209,1.25e-05
1686898800108,1.25e-05
1686902400181,1.25e-05
1686906000086,1.25e-05
1686909600118,1.25e-05
1686913200496,1.25e-05
1686916800005,1.25e-05
1686920400472,1.25e-05
1686924000155,1.25e-05
1686927600164,1.25e-05
1686931200039,1.25e-05
1686934800109,1.25e-05
1686938400049,1.25e-05
1686942000574,1.25e-05
1686945600020,1.25e-05
1686949200129,3.37451e-05
1686952800105,3.94556e-05
1686956400106,2.56626e-05
1686960000166,3.26933e-05
1686963600148,2.23019e-05
1686967200128,1.15618e-05
1686970800070,-2.57047e-05
1686974400073,-2.57438e-05
1686978000241,-1.32561e-05
1686981600074,2.21042e-05
1686985200099,1.18262e-05
1686988800026,-9.433e-07
1686992400194,-1.0145e-06
1686996000010,-5.933e-06
1686999600155,-7.851e-06
1687003200180,8.992e-07
1687006800083,9.834e-06
1687010400161,-8.0466e-06
1687014000213,-5.1428e-06
1687017600022,5.5097e-06
1687021200141,-3.5747e-06
1687024800129,-3.9357e-06
1687028400006,-1.487e-06
1687032000027,-1.55527e-05
1687035600085,-7.1843e-06
1687039200122,-5.4747e-06
1687042800314,-1.79934e-05
1687046400182,-1.25218e-05
1687050000315,2.0725e-06
1687053600176,2.531e-07
1687057200073,-5.6505e-06
1687060800018,-2.0123e-06
1687064400034,1.5255e-06
1687068000006,-6.2605e-06
1687071600009,-4.4056e-06
1687075200002,-8.7601e-06
1687078800081,-7.7664e-06
1687082400070,-3.9398e-06
1687086000093,-8.1065e-06
1687089600171,-2.9641e-06
1687093200011,-7.0732e-06
1687096800116,-3.9312e-06
1687100400096,-4.8837e-06
1687104000155,-2.528e-06
1687107600072,-5.5641e-06
1687111200129,-4.8757e-06
1687114800004,-9.5036e-06
1687118400075,1.4399e-06
1687122000206,1.10881e-05
1687125600063,-5.6563e-06
1687129200137,2.253e-06
1687132800040,1.47926e-05
1687136400182,6.3613e-06
1687140000192,1.2722e-06
1687143600031,-5.8744e-06
1687147200204,-1.7203e-06
1687150800115,-1.0466e-06
1687154400108,-5.807e-06
1687158000048,-9.6581e-06
1687161600117,-1.21357e-05
1687165200180,-1.01856e-05
1687168800057,-8.1396e-06
1687172400151,-9.7856e-06
1687176000100,-9.9358e-06
1687179600149,-2.4063e-06
1687183200085,-6.6966e-06
1687186800094,-2.541e-06
1687190400167,-1.19137e-05
1687194000197,-8.5423e-06
